customEvent:face_count | deviceCategory | eventCount
224512 | desktop | 2
22464 | desktop | 2
2348 | desktop | 2
24464 | desktop | 2
24560 | desktop | 2
24562 | desktop | 2
24672 | desktop | 2
250000 | desktop | 2
25744 | desktop | 2
264527 | mobile | 2
267235 | desktop | 2
267242 | desktop | 2
2728 | desktop | 2
274363 | desktop | 2
277878 | desktop | 2
283005 | desktop | 2
3033 | desktop | 2
30964 | desktop | 2
31137 | desktop | 2
311664 | desktop | 2
31791 | desktop | 2
3228 | desktop | 2
32632 | desktop | 2
346000 | desktop | 2
351062 | desktop | 2
35562 | desktop | 2
356383 | desktop | 2
357496 | desktop | 2
3597 | desktop | 2
362569 | desktop | 2
362909 | mobile | 2
365308 | mobile | 2
367048 | desktop | 2
36741 | desktop | 2
367527 | desktop | 2
371150 | desktop | 2
374723 | desktop | 2
378920 | desktop | 2
3824 | desktop | 2
38246 | desktop | 2
388316 | desktop | 2
3888 | desktop | 2
397579 | desktop | 2
401808 | desktop | 2
40300 | desktop | 2
40612 | desktop | 2
406248 | desktop | 2
406793 | desktop | 2
412899 | desktop | 2
412981 | desktop | 2
420879 | desktop | 2
427218 | desktop | 2
431 | desktop | 2
43315 | desktop | 2
44154 | desktop | 2
44286 | desktop | 2
44691 | desktop | 2
456368 | desktop | 2
45952 | mobile | 2
462013 | desktop | 2
462608 | desktop | 2
466183 | desktop | 2
471852 | desktop | 2
4746 | desktop | 2
47788 | desktop | 2
478008 | desktop | 2
486794 | desktop | 2
490352 | desktop | 2
497208 | desktop | 2
498056 | desktop | 2
499986 | desktop | 2
500000 | desktop | 2
515839 | desktop | 2
516552 | desktop | 2
517405 | desktop | 2
52122 | desktop | 2
521794 | desktop | 2
522 | desktop | 2
52579 | mobile | 2
53110 | mobile | 2
558 | desktop | 2
560 | desktop | 2
5694 | desktop | 2
582499 | desktop | 2
588867 | desktop | 2
589922 | desktop | 2
592 | desktop | 2
5940 | desktop | 2
59409 | desktop | 2
594767 | desktop | 2
59577 | desktop | 2
604175 | desktop | 2
608021 | desktop | 2
6131 | desktop | 2
61372 | desktop | 2
615705 | desktop | 2
632764 | desktop | 2
6340 | desktop | 2
63919 | desktop | 2
641745 | desktop | 2
644004 | desktop | 2
64654 | desktop | 2
6507 | desktop | 2
652695 | mobile | 2
65901 | desktop | 2
659844 | desktop | 2
660216 | desktop | 2
660601 | desktop | 2
663 | desktop | 2
67840 | desktop | 2
681245 | desktop | 2
681248 | desktop | 2
6986 | desktop | 2
700206 | desktop | 2
7006 | desktop | 2
704694 | desktop | 2
704738 | desktop | 2
709724 | desktop | 2
723412 | desktop | 2
724643 | desktop | 2
7357 | desktop | 2
739464 | desktop | 2
745029 | desktop | 2
759912 | desktop | 2
760059 | desktop | 2
760508 | desktop | 2
769729 | desktop | 2
7751 | desktop | 2
7770 | desktop | 2
784770 | desktop | 2
802484 | desktop | 2
80534 | desktop | 2
819496 | desktop | 2
