customEvent:face_count | customEvent:file_size_mb | deviceCategory | operatingSystem | customEvent:repair_type | eventCount
31500 | 1.7 | desktop | Windows | auto | 1
31500 | 1.7 | desktop | Windows | fillHoles | 1
34740 | 1.7 | desktop | Windows | auto | 1
356078 | 24.5 | desktop | Linux | auto | 1
36051 | 1.9 | desktop | Windows | auto | 1
362758 | 25.8 | desktop | Windows | auto | 1
372676 | 20.8 | desktop | Windows | auto | 1
376859 | 18.9 | desktop | Windows | auto | 1
394276 | 25.6 | desktop | Windows | auto | 1
39578 | 1.9 | desktop | Windows | auto | 1
39633 | 2.1 | desktop | Macintosh | auto | 1
405806 | 21.3 | desktop | Windows | auto | 1
409655 | 21.3 | desktop | Windows | auto | 1
411281 | 75.6 | desktop | Macintosh | fillHoles | 1
412981 | 20.5 | desktop | Windows | auto | 1
415584 | 19.9 | desktop | Macintosh | auto | 1
430401 | 22.3 | desktop | Windows | auto | 1
435080 | 21.5 | desktop | Windows | auto | 1
437784 | 20.9 | desktop | Windows | fillHoles | 1
438353 | 20.9 | desktop | Windows | auto | 1
438353 | 21.9 | desktop | Windows | auto | 1
444374 | 29.7 | desktop | Windows | auto | 1
44955 | 2.9 | desktop | Windows | auto | 1
45370 | 2.5 | desktop | Windows | auto | 1
45493 | 2.2 | desktop | Windows | auto | 1
45698 | 2.3 | desktop | Windows | auto | 1
45783 | 2.5 | desktop | Windows | auto | 1
467982 | 22.9 | desktop | Windows | auto | 1
480575 | 23.9 | desktop | Windows | auto | 1
489263 | 24.4 | desktop | Windows | auto | 1
490763 | 23.7 | desktop | Macintosh | auto | 1
500605 | 24.1 | desktop | Macintosh | auto | 1
530968 | 28 | desktop | Windows | auto | 1
53290 | 2.8 | desktop | Macintosh | auto | 1
538520 | 28.3 | desktop | Macintosh | auto | 1
54159 | 2.8 | desktop | Macintosh | fillHoles | 1
55268 | 2.7 | desktop | Macintosh | auto | 1
582499 | 27.9 | desktop | Windows | auto | 1
58495 | 3 | desktop | Windows | auto | 1
585465 | 30.2 | desktop | Windows | auto | 1
588867 | 32.6 | desktop | Windows | auto | 1
591774 | 29.6 | desktop | Windows | fillHoles | 1
592492 | 58.1 | desktop | Windows | auto | 1
597035 | 28.5 | desktop | Windows | auto | 1
600397 | 29.7 | desktop | Windows | auto | 1
604175 | 29.2 | desktop | Windows | auto | 1
60491 | 3.1 | desktop | Windows | auto | 1
636432 | 34.3 | desktop | Windows | auto | 1
63919 | 3.2 | desktop | Windows | auto | 1
678590 | 32.6 | desktop | Windows | auto | 1
68662 | 5.7 | desktop | Windows | auto | 1
712477 | 34.3 | desktop | Macintosh | auto | 1
712988 | 37.3 | desktop | Windows | auto | 1
714790 | 34.6 | desktop | Windows | auto | 1
71632 | 3.6 | desktop | Macintosh | auto | 1
723299 | 35 | desktop | Windows | auto | 1
73718 | 3.9 | desktop | Windows | auto | 1
744144 | 35.9 | desktop | Macintosh | auto | 1
75828 | 3.7 | desktop | Windows | auto | 1
76291 | 4.6 | desktop | Windows | auto | 1
767718 | 40.4 | desktop | Windows | auto | 1
77471 | 4.1 | desktop | Windows | auto | 1
775460 | 39.3 | mobile | Android | auto | 1
