133989 input:pmpZero=414 robustZero=392 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
78533 input:pmpZero=250 robustZero=237 committed:pmpZero=15 robustZero=19 final:pmpZero=8 robustZero=2
131980 input:pmpZero=59 robustZero=51 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
204396 input:pmpZero=48 robustZero=36 committed:pmpZero=5 robustZero=1 final:pmpZero=11 robustZero=0
51347 input:pmpZero=126 robustZero=147 committed:pmpZero=6 robustZero=13 final:pmpZero=0 robustZero=0
237740 input:pmpZero=1971 robustZero=324 committed:pmpZero=87 robustZero=2 final:pmpZero=1384 robustZero=0
41939 input:pmpZero=9 robustZero=0 committed:pmpZero=6 robustZero=0 final:pmpZero=5 robustZero=0
79020 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
85790 input:pmpZero=61 robustZero=64 committed:pmpZero=16 robustZero=27 final:pmpZero=0 robustZero=0
1772312 input:pmpZero=538 robustZero=6 committed:pmpZero=42 robustZero=0 final:pmpZero=483 robustZero=0
66375 input:pmpZero=0 robustZero=0 committed:pmpZero=11 robustZero=0 final:pmpZero=45 robustZero=0
170991 input:pmpZero=110 robustZero=38 committed:pmpZero=9 robustZero=2 final:pmpZero=0 robustZero=0
497995 input:pmpZero=4 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=1 robustZero=0
42941 input:pmpZero=27 robustZero=24 committed:pmpZero=1 robustZero=0 final:pmpZero=0 robustZero=0
105335 input:pmpZero=69 robustZero=10 committed:pmpZero=0 robustZero=0 final:pmpZero=52 robustZero=0
472003 input:pmpZero=1393 robustZero=14 committed:pmpZero=212 robustZero=39 final:pmpZero=1053 robustZero=0
81084 input:pmpZero=1078 robustZero=325 committed:pmpZero=33 robustZero=43 final:pmpZero=101 robustZero=0
1102667 input:pmpZero=15 robustZero=1 committed:pmpZero=1 robustZero=1 final:pmpZero=6 robustZero=0
76728 input:pmpZero=2 robustZero=1 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
1772309 input:pmpZero=4665 robustZero=45 committed:pmpZero=721 robustZero=8 final:pmpZero=3169 robustZero=0
42821 input:pmpZero=9 robustZero=3 committed:pmpZero=1 robustZero=1 final:pmpZero=5 robustZero=0
688363 input:pmpZero=103 robustZero=18 committed:pmpZero=13 robustZero=0 final:pmpZero=85 robustZero=0
197005 input:pmpZero=631 robustZero=59 committed:pmpZero=66 robustZero=13 final:pmpZero=450 robustZero=5
63467 input:pmpZero=100 robustZero=41 committed:pmpZero=1 robustZero=3 final:pmpZero=1 robustZero=0
39298 input:pmpZero=223 robustZero=26 committed:pmpZero=1 robustZero=0 final:pmpZero=4 robustZero=0
533695 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
51911 input:pmpZero=0 robustZero=0 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
123794 input:pmpZero=101 robustZero=16 committed:pmpZero=0 robustZero=0 final:pmpZero=0 robustZero=0
40176 input:pmpZero=21 robustZero=2 committed:pmpZero=1 robustZero=0 final:pmpZero=0 robustZero=0
1368058 input:pmpZero=810 robustZero=74 committed:pmpZero=12 robustZero=9 final:pmpZero=182 robustZero=0
